Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day
CL_6256,2015/4/30,75,149,56,3,53,8,-0.01795363185783827,2015-04-30 00:00:00
CL_6257,2015/7/30,100,173,63,3,50,12,-0.013201851995945035,2015-07-30 00:00:00
CL_6265,2017/7/21,131,183,86,9,57,5,0.01636843341821015,2017-07-21 00:00:00
CL_6345,2018/1/26,104,205,83,5,50,6,-0.04850601627762119,2018-01-26 00:00:00
CL_6258,2015/10/30,99,152,73,6,61,2,-0.04160053074046344,2015-10-30 00:00:00
CL_6348,2018/10/26,148,147,53,1,58,9,-0.06643682049583888,2018-10-26 00:00:00
CL_6254,2014/10/24,80,116,68,1,29,4,0.004611766461019018,2014-10-24 00:00:00
CL_6250,2013/10/24,64,190,74,4,48,2,-0.0067748589397461645,2013-10-24 00:00:00
CL_6346,2018/4/27,127,190,56,0,42,5,-0.0001500902145304961,2018-04-27 00:00:00
CL_6139,2012/4/26,78,197,57,2,45,3,-0.001104645594787068,2012-04-26 00:00:00
CL_6138,2012/1/26,111,214,91,4,64,4,0.021355053450117237,2012-01-26 00:00:00
CL_6262,2016/10/27,90,126,61,7,23,3,-0.009682885499878946,2016-10-27 00:00:00
CL_6352,2019/11/1,54,159,30,0,41,1,-0.026093308386917924,2019-11-01 00:00:00
CL_6143,2013/4/25,87,147,51,3,61,3,0.012892252954999071,2013-04-25 00:00:00
CL_6252,2014/4/25,89,160,46,9,41,3,-0.002860190283507258,2014-04-25 00:00:00
CL_6264,2017/4/28,111,165,54,1,52,19,-0.01718966007874201,2017-04-28 00:00:00
CL_6351,2019/7/26,71,214,49,1,41,2,0.024468262599240287,2019-07-26 00:00:00
CL_6141,2012/10/25,105,132,65,0,43,3,-0.018393385223145486,2012-10-25 00:00:00
CL_6255,2015/1/29,74,197,60,1,67,3,0.06004293408786854,2015-01-29 00:00:00
CL_6347,2018/7/27,99,155,63,4,67,11,-0.00418283192537916,2018-07-27 00:00:00
CL_6142,2013/1/31,95,149,61,6,53,3,-0.0313937372615436,2013-01-31 00:00:00
CL_6261,2016/7/28,57,115,54,2,42,3,-0.0004093719950408747,2016-07-28 00:00:00
CL_6349,2019/1/25,91,212,77,2,51,4,-0.005787791092215944,2019-01-25 00:00:00
CL_6263,2017/1/27,132,185,69,1,59,4,-0.05216878180009221,2017-01-27 00:00:00
CL_6140,2012/7/26,89,174,58,4,50,6,0.04039117118257174,2012-07-26 00:00:00
CL_6350,2019/4/26,46,145,30,1,55,2,0.03799680473993194,2019-04-26 00:00:00
CL_6251,2014/1/30,105,198,82,10,54,10,-0.0016236154225255373,2014-01-30 00:00:00
CL_6253,2014/7/31,85,145,62,3,61,3,-0.040992271357630616,2014-07-31 00:00:00
CL_6259,2016/1/29,87,148,48,6,48,11,0.03860354146139633,2016-01-29 00:00:00
CLX_5201,2018/10/31,99,247,99,6,55,6,-0.028595800068935136,2018-10-31 00:00:00
CLX_5221,2015/5/1,90,225,100,3,54,9,0.0008482937660654332,2015-05-01 00:00:00
CLX_5287,2012/8/2,115,183,129,9,62,8,0.0008314517121519316,2012-08-02 00:00:00
CLX_5205,2019/10/31,121,209,63,7,45,6,-0.020623345805133364,2019-10-31 00:00:00
CLX_5199,2018/5/2,89,235,74,3,70,10,-0.007019343408374845,2018-05-02 00:00:00
CLX_5206,2020/2/4,95,274,99,1,57,8,,
CLX_5214,2018/2/2,105,275,94,9,89,19,-0.06712747128932682,2018-02-02 00:00:00
CLX_5383,2015/11/2,43,220,77,1,48,12,0.030834791139541462,2015-11-02 00:00:00
CLX_5204,2019/8/1,129,269,99,1,79,7,-0.03972943709334531,2019-08-01 00:00:00
CLX_5219,2014/10/31,110,235,96,7,53,5,0.009127804663355388,2014-10-31 00:00:00
CLX_5291,2013/8/1,100,165,87,2,28,2,-0.012915994633678984,2013-08-01 00:00:00
CLX_5212,2017/8/3,97,290,110,2,59,10,0.020913802237678247,2017-08-03 00:00:00
CLX_5211,2017/5/3,86,230,72,2,54,3,0.008532559317385946,2017-05-03 00:00:00
CLX_5207,2016/5/3,64,246,82,0,54,10,0.019454896102079955,2016-05-03 00:00:00
CLX_5216,2014/2/4,108,165,66,4,45,7,-0.0063687245005865645,2014-02-04 00:00:00
CLX_5210,2017/2/3,70,270,93,3,58,6,0.0407518430882754,2017-02-03 00:00:00
CLX_5384,2016/2/4,51,196,75,4,36,6,-0.04866883386717946,2016-02-04 00:00:00
CLX_5286,2012/5/2,72,143,93,10,55,5,-0.0317051370714172,2012-05-02 00:00:00
CLX_5203,2019/5/1,113,272,94,5,53,12,-0.07243468587556534,2019-05-01 00:00:00
CLX_5213,2017/11/1,84,174,67,2,48,3,0.011775906959131888,2017-11-01 00:00:00
CLX_5222,2015/8/3,73,243,93,2,53,10,0.0273360504900424,2015-08-03 00:00:00
CLX_5218,2014/8/1,115,154,106,7,45,11,0.026821619983796285,2014-08-01 00:00:00
CLX_5217,2014/5/1,141,170,126,2,44,6,-0.014332915833559778,2014-05-01 00:00:00
CLX_5209,2016/11/2,66,196,98,0,36,5,-0.03196920046127538,2016-11-02 00:00:00
CLX_5220,2015/2/4,96,239,90,0,90,5,0.017828936070365176,2015-02-04 00:00:00
CLX_5290,2013/5/1,151,164,138,2,40,5,-0.01449275362318836,2013-05-01 00:00:00
CLX_5202,2019/2/4,76,283,99,9,69,3,0.05685309113679815,2019-02-04 00:00:00
CLX_5200,2018/8/2,95,218,94,2,61,9,0.061717341631493776,2018-08-02 00:00:00
CLX_5288,2012/11/2,74,143,73,2,47,3,0.003571948522602675,2012-11-02 00:00:00
CMA_6605,2012/10/17,145,142,78,6,68,14,-0.02384025955671354,2012-10-17 00:00:00
CMA_6156,2014/10/17,116,135,102,18,53,15,-0.03061676838620608,2014-10-17 00:00:00
CMA_6384,2019/7/17,104,132,77,5,71,16,-0.035679408482142905,2019-07-17 00:00:00
CMA_6159,2015/7/17,173,70,125,22,36,19,-0.06320591171489197,2015-07-17 00:00:00
CMA_6603,2013/4/16,128,135,93,10,31,25,0.019044760938752958,2013-04-16 00:00:00
CMA_6606,2012/7/17,156,135,133,12,52,32,0.03829926405809148,2012-07-17 00:00:00
CMA_6274,2017/4/18,112,175,136,3,55,24,0.011653948539374959,2017-04-18 00:00:00
CMA_6602,2013/7/16,141,110,114,4,44,15,-0.016843136184045315,2013-07-16 00:00:00
CMA_6277,2018/1/16,66,105,77,10,38,7,0.008061048931855995,2018-01-16 00:00:00
CMA_6607,2012/4/17,136,138,92,9,71,11,0.03532080787523584,2012-04-17 00:00:00
CMA_6152,2013/10/16,118,118,76,5,41,20,0.024895295632928468,2013-10-16 00:00:00
CMA_6362,2018/7/17,78,154,89,15,88,11,0.012789456462400263,2018-07-17 00:00:00
CMA_6153,2014/1/17,85,119,59,14,21,11,0.00463844021268356,2014-01-17 00:00:00
CMA_6276,2017/10/17,107,158,74,6,38,22,-0.007167418534386516,2017-10-17 00:00:00
CMA_6160,2015/10/16,189,130,106,10,46,17,-0.010767857818950509,2015-10-16 00:00:00
CMA_6275,2017/7/18,114,173,98,5,43,13,-0.01972616287611395,2017-07-18 00:00:00
CMA_6271,2016/7/19,103,198,86,8,67,12,0.02423968407013644,2016-07-19 00:00:00
CMA_6386,2019/1/16,106,172,111,11,69,18,0.05524036044457814,2019-01-16 00:00:00
CMA_6385,2019/4/16,96,135,68,3,57,9,0.005573178700623682,2019-04-16 00:00:00
CMA_6161,2016/1/19,142,161,113,23,37,17,-0.03689314963951906,2016-01-19 00:00:00
CMA_6383,2019/10/16,90,114,90,4,29,7,-0.02253734531687268,2019-10-16 00:00:00
CMA_6155,2014/7/15,87,87,98,7,29,31,0.02631574974801421,2014-07-15 00:00:00
CMA_6361,2018/4/17,92,136,68,15,48,12,-0.035064017533874225,2018-04-17 00:00:00
CMA_6382,2020/1/21,110,114,98,2,51,16,-0.035069901328571566,2020-01-21 00:00:00
CMA_6162,2016/4/19,133,121,98,12,71,22,0.04204205064230293,2016-04-19 00:00:00
CMA_6154,2014/4/15,150,147,110,13,35,28,-0.000205769119197452,2014-04-15 00:00:00
CMA_6604,2013/1/16,136,157,102,9,44,13,0.03702536450436855,2013-01-16 00:00:00
CMA_6363,2018/10/16,85,154,89,5,40,21,0.004549867074785663,2018-10-16 00:00:00
CMA_6608,2012/1/20,116,152,96,11,36,18,0.03138073950326481,2012-01-20 00:00:00
CMCSA_6567,2015/7/23,51,253,42,5,61,5,-0.031472849291424465,2015-07-23 00:00:00
CMCSA_6147,2016/2/3,73,202,53,7,56,3,0.05953471315104819,2016-02-03 00:00:00
CMCSA_6499,2013/5/1,43,157,47,10,56,1,0.013559355535980309,2013-05-01 00:00:00
CMCSA_6151,2017/1/26,68,194,66,9,44,1,0.02805007475642873,2017-01-26 00:00:00
CMCSA_6266,2017/4/27,64,209,52,8,50,4,0.020623851976768304,2017-04-27 00:00:00
CMCSA_6270,2018/4/25,55,212,51,6,50,7,0.02728635349468611,2018-04-25 00:00:00
CMCSA_6269,2018/1/24,77,223,59,6,51,7,0.012959544522974431,2018-01-24 00:00:00
CMCSA_6495,2012/5/2,55,218,53,7,44,3,-0.005882362840909705,2012-05-02 00:00:00
CMCSA_6501,2013/10/30,58,146,53,8,38,5,-0.012995157069423335,2013-10-30 00:00:00
CMCSA_6150,2016/10/26,75,189,61,17,40,2,-0.030378105575831867,2016-10-26 00:00:00
CMCSA_6561,2014/4/22,77,176,61,5,48,7,0.019045724590946774,2014-04-22 00:00:00
CMCSA_6360,2020/1/23,68,256,48,7,59,1,-0.037731811818019316,2020-01-23 00:00:00
CMCSA_6498,2013/2/13,36,209,47,4,44,3,0.029766482193381405,2013-02-13 00:00:00
CMCSA_6268,2017/10/26,67,226,60,5,63,4,-0.015205032458587288,2017-10-26 00:00:00
CMCSA_6562,2014/7/22,64,165,40,12,49,4,0.015050192825789122,2014-07-22 00:00:00
CMCSA_6496,2012/8/1,51,150,68,8,39,2,0.030721966925929326,2012-08-01 00:00:00
CMCSA_6358,2019/7/25,58,199,49,6,54,3,-0.005794480225593368,2019-07-25 00:00:00
CMCSA_6565,2015/2/24,56,178,70,22,71,3,0.01649199621321995,2015-02-24 00:00:00
CMCSA_6563,2014/10/23,103,217,53,17,68,7,0.03359874705461152,2014-10-23 00:00:00
CMCSA_6149,2016/7/27,97,191,57,13,43,3,0.011015151241559495,2016-07-27 00:00:00
CMCSA_6267,2017/7/27,61,176,51,10,28,1,0.00203308346015052,2017-07-27 00:00:00
CMCSA_6148,2016/4/27,77,179,58,11,45,8,0.0040950041461791375,2016-04-27 00:00:00
CMCSA_6494,2012/2/15,54,182,68,2,34,4,0.046605521385822746,2012-02-15 00:00:00
CMCSA_6357,2019/4/25,69,212,50,5,46,2,0.02580649630662557,2019-04-25 00:00:00
CMCSA_6355,2018/10/25,79,320,68,5,83,6,0.050410353884736026,2018-10-25 00:00:00
CMCSA_6359,2019/10/24,72,204,44,7,49,4,-0.01924761689894161,2019-10-24 00:00:00
CMCSA_6356,2019/1/23,50,263,49,7,80,5,0.054904149325812,2019-01-23 00:00:00
CMCSA_6500,2013/7/31,58,173,35,5,46,1,0.0554905829404162,2013-07-31 00:00:00
CMCSA_6145,2015/10/27,57,158,42,8,44,4,-0.010292688750520362,2015-10-27 00:00:00
CME_5420,2015/4/30,87,91,87,18,37,13,0.01917047951088402,2015-04-30 00:00:00
CME_5332,2013/2/5,87,117,153,44,51,36,0.015442716965166081,2013-02-05 00:00:00
CME_5339,2014/10/30,63,138,106,24,45,8,-0.0032995755397682287,2014-10-30 00:00:00
CME_5422,2015/10/29,40,80,66,35,42,5,0.015426263184045162,2015-10-29 00:00:00
CME_5424,2016/4/28,57,163,69,28,46,6,-0.022549198327994624,2016-04-28 00:00:00
CME_5335,2013/11/4,61,83,86,18,24,15,-0.011780418867054276,2013-11-04 00:00:00
CME_5423,2016/2/5,51,126,68,28,13,5,0.02571529217672897,2016-02-05 00:00:00
CME_5421,2015/7/30,74,115,93,15,45,20,0.0,2015-07-30 00:00:00
CME_5427,2017/2/2,74,153,133,25,39,8,0.0029776725046153363,2017-02-02 00:00:00
CME_5337,2014/5/1,89,65,82,28,27,10,0.004119916437589799,2014-05-01 00:00:00
CME_5490,2019/2/14,59,130,72,37,41,4,-0.016629712314299994,2019-02-14 00:00:00
CME_5336,2014/2/4,68,100,91,35,32,12,0.0058759265288683684,2014-02-04 00:00:00
CME_5426,2016/10/27,61,118,94,25,38,8,-0.026448791211269532,2016-10-27 00:00:00
CME_5330,2012/7/26,96,139,108,33,48,21,0.023019905263635062,2012-07-26 00:00:00
CME_5329,2012/4/26,91,96,117,22,39,12,0.0031485847953152124,2012-04-26 00:00:00
CME_5486,2018/2/2,77,110,89,46,23,8,0.0012585548022983062,2018-02-02 00:00:00
CME_5489,2018/10/25,90,88,65,58,30,4,-0.01993594308508817,2018-10-25 00:00:00
CME_5333,2013/5/2,66,94,89,38,32,14,0.004490278612465204,2013-05-02 00:00:00
CME_5491,2019/5/1,92,139,76,31,38,5,-0.020122923239503262,2019-05-01 00:00:00
CME_5493,2019/10/30,110,180,117,44,45,1,0.019751249854244483,2019-10-30 00:00:00
CME_5419,2015/2/5,65,78,82,22,42,6,0.01781508501838225,2015-02-05 00:00:00
CME_5484,2017/8/1,67,142,82,30,72,6,0.009541658316248204,2017-08-01 00:00:00
CME_5488,2018/7/26,70,106,65,36,22,0,-0.01805095258064981,2018-07-26 00:00:00
CME_5425,2016/7/31,44,118,71,26,37,9,0.008313756767226009,2016-08-01 00:00:00
CME_5334,2013/8/1,65,99,85,31,34,9,-0.02551984137122254,2013-08-01 00:00:00
CME_5485,2017/10/26,42,76,39,15,46,6,0.020545385689958232,2017-10-26 00:00:00
CME_5428,2017/4/27,62,167,100,30,40,5,-0.0409863223210698,2017-04-27 00:00:00
CME_5487,2018/4/26,20,77,33,19,15,1,-0.01011922562877854,2018-04-26 00:00:00
CMG_5146,2017/2/2,72,185,89,2,65,13,0.007305467782834141,2017-02-02 00:00:00
CMG_5002,2014/10/20,63,186,114,3,94,22,0.01762460124368226,2014-10-20 00:00:00
CMG_4999,2014/1/30,48,196,79,5,79,9,0.019525266161152025,2014-01-30 00:00:00
CMG_5001,2014/7/21,61,239,79,3,71,9,-0.004203082789583479,2014-07-21 00:00:00
CMG_5140,2018/7/26,85,195,85,3,39,6,-0.010783152280706254,2018-07-26 00:00:00
CMG_5005,2015/4/21,93,179,98,1,66,15,0.008137695129155853,2015-04-21 00:00:00
CMG_5000,2014/4/17,59,223,84,6,76,15,-0.05935922811965987,2014-04-17 00:00:00
CMG_4913,2013/4/18,67,168,88,8,76,11,-0.03406488499934557,2013-04-18 00:00:00
CMG_5004,2015/2/3,63,201,97,5,68,19,0.019760041163504605,2015-02-03 00:00:00
CMG_5007,2015/7/21,82,256,91,4,92,17,-0.0072713756279959565,2015-07-21 00:00:00
CMG_5115,2016/4/26,110,199,71,6,49,12,0.006364268303711063,2016-04-26 00:00:00
CMG_4914,2013/7/18,70,186,92,7,52,16,0.0026080075976808725,2013-07-18 00:00:00
CMG_5136,2019/7/23,79,198,74,8,37,7,-0.0039191851172566405,2019-07-23 00:00:00
CMG_5008,2015/10/20,68,215,62,2,61,15,-0.018103653429303646,2015-10-20 00:00:00
CMG_4908,2012/2/1,61,221,88,4,59,13,0.00849463651229687,2012-02-01 00:00:00
CMG_5141,2018/4/25,109,320,95,7,82,9,0.01927343978541129,2018-04-25 00:00:00
CMG_4911,2012/10/18,56,205,111,6,59,14,-0.01403450801454742,2012-10-18 00:00:00
CMG_5137,2019/4/24,58,255,88,3,56,14,0.010377783502713678,2019-04-24 00:00:00
CMG_4909,2012/4/19,69,267,80,1,75,18,-0.01673092788876673,2012-04-19 00:00:00
CMG_5142,2018/2/6,75,195,66,7,90,10,0.01341990990047992,2018-02-06 00:00:00
CMG_5118,2019/10/22,63,243,95,5,50,5,-0.024038766506941037,2019-10-22 00:00:00
CMG_5119,2020/2/5,55,279,84,9,49,5,,
CMG_5117,2016/10/25,105,299,107,6,124,22,-0.01857987797841698,2016-10-25 00:00:00
CMG_5138,2019/2/6,87,243,73,7,62,9,-0.001120339557802552,2019-02-06 00:00:00
CMG_5116,2016/7/22,73,198,76,2,70,12,0.05838735913714821,2016-07-22 00:00:00
CMG_5143,2017/10/24,121,258,84,8,85,16,0.01201427816907108,2017-10-24 00:00:00
CMG_4998,2013/10/17,44,193,77,10,76,13,0.002282740163171981,2013-10-17 00:00:00
CMG_5139,2018/10/25,71,191,63,3,43,6,0.02634383748865021,2018-10-25 00:00:00
CMG_5144,2017/7/25,99,222,89,15,70,28,0.02541321210559877,2017-07-25 00:00:00
CMI_6506,2012/2/2,83,176,77,6,41,11,0.07078055079729761,2012-02-02 00:00:00
CMI_6507,2012/5/1,98,182,51,3,56,3,-0.040490394261125114,2012-05-01 00:00:00
CMI_6197,2016/11/1,162,157,72,5,46,7,-0.04326395550383344,2016-11-01 00:00:00
CMI_6193,2015/10/27,186,162,69,13,91,7,-0.08697591554607242,2015-10-27 00:00:00
CMI_6618,2014/10/28,105,163,63,10,79,1,0.06810963694518524,2014-10-28 00:00:00
CMI_6375,2020/2/4,167,134,62,4,48,10,,
CMI_6621,2014/2/6,145,165,71,17,78,2,0.03244651985286895,2014-02-06 00:00:00
CMI_6380,2018/10/30,72,148,50,7,52,5,0.02298667149819056,2018-10-30 00:00:00
CMI_6308,2018/7/31,82,178,55,10,54,7,0.04081328307493326,2018-07-31 00:00:00
CMI_6379,2019/2/6,89,152,56,7,50,9,-0.003137105845189448,2019-02-06 00:00:00
CMI_6620,2014/4/29,157,186,85,11,58,11,0.0386363686519311,2014-04-29 00:00:00
CMI_6511,2013/4/30,134,148,73,5,45,5,-0.06057395682429634,2013-04-30 00:00:00
CMI_6190,2015/2/5,132,146,66,7,78,6,-0.04196727870469652,2015-02-05 00:00:00
CMI_6377,2019/7/30,123,142,68,9,61,19,-0.050583451112320765,2019-07-30 00:00:00
CMI_6200,2017/8/1,90,171,85,5,67,7,-0.06206074179710552,2017-08-01 00:00:00
CMI_6191,2015/4/28,123,207,60,6,35,8,-0.014362657091561926,2015-04-28 00:00:00
CMI_6196,2016/8/2,148,149,51,2,47,5,-0.006239754656718,2016-08-02 00:00:00
CMI_6192,2015/7/28,118,157,51,5,52,6,0.03409275539118006,2015-07-28 00:00:00
CMI_6376,2019/10/29,190,142,57,12,54,10,-0.016163993122484066,2019-10-29 00:00:00
CMI_6201,2017/10/31,95,170,82,7,46,6,-0.019240372072465872,2017-10-31 00:00:00
CMI_6307,2018/5/1,82,184,82,5,34,11,-0.041161027185862564,2018-05-01 00:00:00
CMI_6198,2017/2/9,157,142,71,3,44,8,0.030615094303259482,2017-02-09 00:00:00
CMI_6306,2018/2/6,59,142,74,9,40,6,-0.02335061060303889,2018-02-06 00:00:00
CMI_6199,2017/5/2,81,170,90,9,66,7,0.060992503904437,2017-05-02 00:00:00
CMI_6195,2016/5/3,179,157,65,4,42,6,0.01776366357597503,2016-05-03 00:00:00
CMI_6509,2012/10/31,158,98,86,4,46,12,-0.002558067198360603,2012-10-31 00:00:00
CMI_6512,2013/7/30,104,152,69,9,45,3,0.015372731690108662,2013-07-30 00:00:00
CMI_6508,2012/7/31,168,151,71,2,61,7,0.05990271847762885,2012-07-31 00:00:00
CMS_6082,2016/4/28,45,102,55,28,41,13,0.007990005016731859,2016-04-28 00:00:00
CMS_5772,2018/2/14,64,164,116,25,75,25,-0.003484267452727674,2018-02-14 00:00:00
CMS_5746,2014/1/30,89,147,76,37,48,14,0.016803541600177052,2014-01-30 00:00:00
CMS_5719,2012/4/26,96,94,65,51,32,7,0.016577098758616904,2012-04-26 00:00:00
CMS_6081,2016/2/4,32,128,36,18,33,4,-0.004563902419963185,2016-02-04 00:00:00
CMS_6080,2015/10/29,58,139,64,48,60,6,-0.013793103448275891,2015-10-29 00:00:00
CMS_5718,2012/2/23,43,97,76,24,34,5,-0.0023234732037907824,2012-02-23 00:00:00
CMS_5750,2015/1/29,60,140,79,37,44,11,0.02577870679924676,2015-01-29 00:00:00
CMS_5745,2013/7/25,75,155,63,28,46,9,0.008220141029278372,2013-07-25 00:00:00
CMS_5778,2019/4/25,56,146,67,43,48,16,0.006617587969791615,2019-04-25 00:00:00
CMS_5776,2018/10/25,68,163,116,56,53,14,-0.018375256265381945,2018-10-25 00:00:00
CMS_5774,2018/4/26,38,190,77,20,56,14,0.012647143668517602,2018-04-26 00:00:00
CMS_5780,2019/10/24,69,158,93,25,64,18,0.018328266960575323,2019-10-24 00:00:00
CMS_5743,2013/2/21,51,143,72,32,41,11,0.002687201697620933,2013-02-21 00:00:00
CMS_5775,2018/7/26,77,174,102,43,67,20,0.005430207095512118,2018-07-26 00:00:00
CMS_5793,2016/10/27,62,109,40,18,48,14,-0.006962806840406843,2016-10-27 00:00:00
CMS_5771,2017/10/27,42,157,56,20,38,14,0.005423490689997923,2017-10-27 00:00:00
CMS_5747,2014/4/24,50,147,108,32,64,8,0.009777509002672824,2014-04-24 00:00:00
CMS_5781,2020/1/30,60,186,103,31,65,24,0.011291073596739977,2020-01-30 00:00:00
CMS_5748,2014/7/24,94,208,88,29,66,12,0.0026238086030370145,2014-07-24 00:00:00
CMS_5744,2013/4/25,51,112,72,32,58,8,0.0020561845549995628,2013-04-25 00:00:00
CMS_5777,2019/1/31,90,197,103,67,71,13,0.013608102286690071,2019-01-31 00:00:00
CMS_5751,2015/4/23,43,82,51,40,48,10,-0.001710903159770183,2015-04-23 00:00:00
CMS_6083,2016/7/31,67,160,60,20,41,12,-0.0006639836010234879,2016-08-01 00:00:00
CMS_5749,2014/10/23,31,86,42,8,31,7,0.00630320724313993,2014-10-23 00:00:00
CMS_6079,2015/7/23,54,122,65,18,42,22,-0.01238296103455605,2015-07-23 00:00:00
CMS_5779,2019/7/26,59,179,74,25,73,13,0.012594885330698524,2019-07-26 00:00:00
CNC_4044,2013/10/22,76,88,96,54,57,7,-0.0028740347852379555,2013-10-22 00:00:00
CNC_4040,2012/10/23,102,99,104,43,49,13,0.002343143789258706,2012-10-23 00:00:00
CNC_4218,2016/7/26,168,139,136,47,75,4,-0.08490564985743287,2016-07-26 00:00:00
CNC_4349,2018/4/24,86,147,93,32,51,10,-0.02559466255643994,2018-04-24 00:00:00
CNC_4345,2017/4/26,78,113,93,38,49,6,-0.008849474792250955,2017-04-26 00:00:00
CNC_4210,2014/7/22,56,94,114,17,47,7,0.0582164781593193,2014-07-22 00:00:00
CNC_4348,2018/2/6,59,128,76,35,43,10,0.04316764976947906,2018-02-06 00:00:00
CNC_4219,2016/10/25,105,161,82,43,76,9,0.0366376114392275,2016-10-25 00:00:00
CNC_4208,2014/2/4,69,75,103,24,48,10,-0.005413630375909362,2014-02-04 00:00:00
CNC_4356,2020/2/4,106,179,110,48,75,10,,
CNC_4353,2019/4/23,71,185,99,38,80,4,0.04638102032675007,2019-04-23 00:00:00
CNC_4211,2014/10/28,45,56,70,28,42,10,0.07820481889699482,2014-10-28 00:00:00
CNC_4347,2017/10/24,88,135,112,49,63,5,-0.05071947473264227,2017-10-24 00:00:00
CNC_4346,2017/7/25,69,127,80,22,41,7,-0.01603323661580347,2017-07-25 00:00:00
CNC_4216,2016/2/9,103,103,104,32,46,3,0.033320868580699825,2016-02-09 00:00:00
CNC_4217,2016/4/26,93,110,123,33,51,9,0.0612471911667003,2016-04-26 00:00:00
CNC_4354,2019/7/23,74,146,94,26,40,7,0.007089533556582151,2019-07-23 00:00:00
CNC_4213,2015/4/28,42,78,76,22,50,2,-0.02472100547206169,2015-04-28 00:00:00
CNC_4355,2019/10/22,116,135,133,32,55,17,0.06510813879030343,2019-10-22 00:00:00
CNC_4351,2018/10/23,88,141,96,40,81,18,-0.04911189980403618,2018-10-23 00:00:00
CNC_4043,2013/7/23,75,95,92,34,50,7,0.040951376797417005,2013-07-23 00:00:00
CNC_4352,2019/2/5,74,182,105,46,61,8,-0.019235207944291118,2019-02-05 00:00:00
CNC_4042,2013/4/23,92,92,97,52,75,5,0.037927260828567455,2013-04-23 00:00:00
CNC_4209,2014/4/22,85,109,118,22,42,5,0.12218537071279377,2014-04-22 00:00:00
CNC_4041,2013/2/5,88,63,114,49,88,10,0.05759287047982142,2013-02-05 00:00:00
CNC_4212,2015/2/3,47,94,77,15,50,3,0.02246879060593732,2015-02-03 00:00:00
CNC_4220,2017/2/7,61,160,90,32,47,9,0.052962421425660766,2017-02-07 00:00:00
CNP_4863,2013/8/1,45,67,62,12,40,13,0.013698636453198354,2013-08-01 00:00:00
CNP_5197,2017/8/4,75,130,86,17,34,20,0.002458784821256277,2017-08-04 00:00:00
CNP_4860,2012/11/7,46,63,42,19,23,32,-0.03957171320224484,2012-11-07 00:00:00
CNP_4864,2013/11/6,33,106,51,12,42,18,0.03256384998868245,2013-11-06 00:00:00
CNP_5085,2018/5/4,54,179,75,26,50,7,0.03979512459729051,2018-05-04 00:00:00
CNP_4858,2012/5/3,62,109,52,24,44,5,-0.01645884968893574,2012-05-03 00:00:00
CNP_4859,2012/8/2,54,99,71,18,38,7,-0.003349267756070029,2012-08-02 00:00:00
CNP_4861,2013/2/27,79,123,104,37,51,17,0.025603804819455126,2013-02-27 00:00:00
CNP_4865,2014/2/26,55,127,73,23,59,9,-0.026457266757642258,2014-02-26 00:00:00
CNP_4980,2015/11/7,46,96,38,16,37,18,0.0022910033003906705,2015-11-09 00:00:00
CNP_4868,2014/11/5,56,88,63,11,32,4,0.019886354839928174,2014-11-05 00:00:00
CNP_4869,2015/2/26,52,174,94,21,62,6,-0.025498342366343185,2015-02-26 00:00:00
CNP_4857,2012/2/29,66,103,102,25,56,10,0.05237577156472817,2012-02-29 00:00:00
CNP_5084,2018/2/23,54,130,105,30,47,17,0.02703702008282693,2018-02-23 00:00:00
CNP_4866,2014/5/1,53,102,58,13,39,4,-0.0008077729232143227,2014-05-01 00:00:00
CNP_5196,2017/5/6,40,87,66,13,34,4,-0.006417055355542711,2017-05-08 00:00:00
CNP_5087,2018/11/8,45,121,85,13,45,5,-0.009180799141369822,2018-11-08 00:00:00
CNP_5192,2016/5/11,65,90,83,11,49,6,-0.004072405024180603,2016-05-11 00:00:00
CNP_5088,2019/2/28,67,111,107,20,62,4,-0.032734289562212034,2019-02-28 00:00:00
CNP_4979,2015/8/10,41,93,60,19,51,4,0.020376243962055614,2015-08-10 00:00:00
CNP_5083,2017/11/3,53,107,64,19,60,4,-0.005043699384152167,2017-11-03 00:00:00
CNP_4867,2014/8/6,28,83,36,5,33,8,-0.015873060135259243,2014-08-06 00:00:00
CNP_5089,2019/8/7,60,154,110,34,44,14,-0.027720066787601968,2019-08-07 00:00:00
CNP_4978,2015/5/11,64,150,75,22,52,10,-0.0106177278303623,2015-05-11 00:00:00
CNP_5193,2016/8/5,72,110,81,18,39,22,-0.0394067919552239,2016-08-05 00:00:00
CNP_5191,2016/2/26,101,182,108,13,49,28,-0.031870361674767755,2016-02-26 00:00:00
CNP_5090,2019/11/7,54,123,97,31,51,13,0.007994422613026408,2019-11-07 00:00:00
COF_4266,2015/1/22,98,178,78,14,43,12,-0.013081234920433893,2015-01-22 00:00:00
COF_4265,2014/10/16,111,146,73,14,48,16,-0.008584778601633425,2014-10-16 00:00:00
COF_4471,2018/1/23,145,167,110,11,53,7,0.002085517349116328,2018-01-23 00:00:00
COF_4271,2016/4/26,100,118,84,5,35,6,0.012935074654426336,2016-04-26 00:00:00
COF_4131,2014/7/17,86,141,64,10,36,9,-0.022398666166961508,2014-07-17 00:00:00
COF_4590,2019/7/18,77,170,58,1,31,7,0.00646331419712709,2019-07-18 00:00:00
COF_4123,2012/7/19,74,94,65,27,38,17,0.026963008903137853,2012-07-19 00:00:00
