Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
BLL_2888,2016/4/28,80,89,47,8,24,9
BLL_2890,2016/11/3,83,164,51,17,42,3
BLL_2573,2012/1/26,82,104,90,4,46,10
BLL_2576,2012/10/25,93,107,74,5,26,5
BLL_2730,2014/1/30,95,112,80,11,36,5
BLL_2894,2017/11/2,131,173,107,18,40,4
BLL_2732,2014/7/31,88,121,73,25,24,9
BLL_2728,2013/7/25,102,118,82,7,37,7
BLL_2574,2012/4/26,94,113,89,8,39,1
BLL_2897,2018/8/2,113,181,106,20,52,3
BLL_2737,2015/10/29,133,153,94,15,41,7
BLL_2729,2013/10/24,74,96,57,7,26,2
BLL_2901,2019/8/1,89,181,99,22,79,19
BLL_2899,2019/1/31,87,155,98,25,44,5
BLL_2889,2016/8/4,94,160,104,17,48,5
BLL_2734,2015/2/5,108,105,119,19,43,12
BLL_2575,2012/7/26,109,120,96,6,42,2
BLL_2895,2018/2/7,123,183,89,19,49,10
BLL_2731,2014/5/1,84,142,81,11,36,3
BLL_2733,2014/10/30,107,158,105,17,40,16
BLL_2900,2019/5/3,78,192,111,19,86,5
BLL_2892,2017/5/4,93,167,92,7,54,3
BLL_2903,2020/2/6,87,204,98,18,86,8
BLL_2577,2013/1/31,92,85,87,10,29,6
BLL_2735,2015/5/2,114,109,107,34,60,9
BLL_2898,2018/11/1,86,138,69,16,33,6
BLL_2578,2013/4/25,119,102,90,28,26,11
BMY_4449,2018/10/25,122,167,101,9,59,15
BMY_4343,2018/4/26,128,211,79,13,44,12
BMY_4535,2014/10/24,101,106,68,15,62,6
BMY_4205,2016/10/27,94,132,94,5,76,20
BMY_4451,2019/4/25,115,165,85,6,62,5
BMY_4530,2016/1/28,122,192,73,4,52,9
BMY_4537,2014/4/29,78,149,59,2,63,6
BMY_4204,2016/7/28,99,183,92,3,59,9
BMY_4450,2019/1/24,102,230,79,18,76,7
BMY_4341,2017/10/26,122,189,85,4,61,11
BMY_4532,2015/7/23,87,178,75,13,74,16
BMY_4536,2014/7/24,64,147,62,11,63,7
BMY_3909,2014/1/24,74,136,66,7,62,12
BMY_4203,2016/4/28,106,172,86,7,59,10
BMY_4533,2015/4/28,87,185,72,13,63,8
BMY_4342,2018/2/5,110,215,100,13,65,12
BMY_3907,2013/7/25,100,125,61,14,67,9
BMY_4340,2017/7/27,107,166,96,11,51,13
BMY_4534,2015/1/27,74,189,84,2,77,8
BMY_4452,2019/7/25,80,160,56,6,68,9
BMY_4531,2015/10/27,83,185,68,14,58,18
BMY_3903,2012/7/25,68,122,78,7,79,9
BMY_3901,2012/4/26,59,171,62,6,70,7
BMY_4344,2018/7/26,106,201,98,15,69,9
BMY_3905,2013/1/24,76,159,71,10,82,8
BMY_3908,2013/10/23,65,112,90,11,83,18
BMY_3904,2012/10/24,94,122,84,11,81,11
BMY_4207,2017/4/27,108,174,78,11,48,11
BMY_4454,2020/2/6,73,190,49,3,46,4
BSX_3066,2015/7/23,91,169,78,3,29,12
BSX_3182,2014/10/22,106,212,98,24,71,10
BSX_3290,2017/2/2,85,173,105,24,47,11
BSX_3288,2016/7/28,72,185,96,23,42,8
BSX_3287,2016/4/27,76,174,78,14,26,8
BSX_3286,2016/2/4,88,200,97,20,39,10
BSX_3073,2013/10/24,101,226,112,11,53,14
BSX_3184,2015/4/28,63,182,70,20,41,8
BSX_3291,2017/4/27,84,178,93,17,34,12
BSX_3071,2013/4/25,126,256,131,15,59,13
BSX_3530,2019/4/24,109,145,93,20,79,13
BSX_3180,2014/4/29,95,241,91,13,66,10
BSX_3132,2012/4/19,86,174,104,12,51,5
BSX_3067,2015/10/28,84,166,88,21,45,11
BSX_3734,2012/10/18,108,177,89,13,65,23
BSX_3533,2020/2/5,80,155,105,12,39,11
BSX_3529,2019/2/6,75,178,102,34,39,19
BSX_3689,2018/2/2,69,153,83,21,32,15
BSX_3072,2013/7/25,82,208,91,8,37,12
BSX_3532,2019/10/23,91,189,100,17,49,9
BSX_3183,2015/2/4,87,197,97,19,35,10
BSX_3686,2018/10/24,77,187,88,27,47,16
BSX_3063,2017/10/26,84,144,91,26,37,20
BSX_3074,2014/2/4,118,258,123,12,73,17
BSX_3733,2013/1/29,115,225,104,16,53,4
BSX_3131,2012/2/2,120,219,140,12,52,6
BSX_3688,2018/4/25,88,193,104,23,39,15
BSX_3292,2017/7/27,71,180,91,33,38,14
BSX_3531,2019/7/24,95,145,72,22,54,16
BWA_3713,2015/7/30,119,136,87,1,30,4
BWA_3671,2016/4/28,63,130,77,6,48,4
BWA_3650,2018/7/26,82,139,69,2,61,7
BWA_3651,2018/4/26,66,163,75,4,32,6
BWA_3312,2012/7/26,83,132,77,8,34,6
BWA_3428,2016/10/27,49,123,96,4,47,1
BWA_3645,2019/10/31,56,102,44,9,30,2
BWA_3715,2015/2/12,87,125,88,8,38,11
BWA_3315,2013/4/25,76,110,84,3,21,7
BWA_3321,2014/10/30,111,110,84,7,34,7
BWA_3313,2012/10/31,95,112,92,5,48,4
BWA_3649,2018/10/25,73,81,51,1,29,2
BWA_3647,2019/4/25,78,75,59,0,37,4
BWA_3310,2012/2/14,61,131,52,8,46,5
BWA_3652,2018/2/8,76,139,67,8,29,3
BWA_3317,2013/10/30,69,112,94,3,28,3
BWA_3316,2013/7/25,80,140,74,2,34,3
BWA_3648,2019/2/14,111,86,94,3,37,4
BWA_3429,2017/2/9,67,169,71,18,39,4
BWA_3646,2019/7/25,138,94,86,6,37,9
BWA_3430,2017/4/27,59,169,69,7,39,2
BWA_3319,2014/5/1,82,145,70,3,35,4
BWA_3318,2014/2/13,106,149,93,4,32,9
BWA_3714,2015/4/30,103,117,79,2,26,4
BWA_3314,2013/2/14,76,119,63,2,32,9
BWA_3427,2016/7/30,71,137,98,5,55,4
BWA_3432,2017/10/26,86,207,90,2,47,4
BWA_3431,2017/7/27,76,160,97,6,34,3
BWA_3712,2015/10/29,113,109,92,2,60,3
BXP_3536,2017/4/26,95,136,89,10,71,25
BXP_3676,2015/10/30,94,133,124,20,90,11
BXP_3307,2012/2/1,101,195,140,21,57,18
BXP_3679,2015/1/30,112,165,135,28,69,21
BXP_3682,2013/1/30,133,186,143,10,62,15
BXP_3680,2014/10/29,95,136,111,22,76,16
BXP_3544,2019/5/1,88,148,93,16,68,15
BXP_3540,2018/4/25,71,116,118,12,74,23
BXP_3683,2012/10/24,162,274,233,21,104,27
BXP_3681,2013/5/1,128,210,153,18,109,27
BXP_3422,2013/7/31,105,184,133,9,83,15
BXP_3426,2014/7/31,103,186,117,37,48,27
BXP_3674,2016/4/27,98,120,91,6,59,26
BXP_3684,2012/8/7,155,202,148,14,103,25
BXP_3537,2017/8/2,91,150,111,9,64,29
BXP_3654,2019/10/30,86,184,148,7,66,21
BXP_3534,2016/10/26,99,133,129,7,83,17
BXP_3539,2018/1/31,67,107,92,9,73,17
BXP_3424,2014/1/29,89,144,118,15,77,19
BXP_3653,2020/1/29,85,161,114,12,91,18
BXP_3423,2013/10/30,91,172,122,22,83,13
BXP_3677,2015/8/1,98,186,138,14,116,27
BXP_3541,2018/8/1,101,150,114,18,86,15
BXP_3673,2016/7/27,91,156,124,6,88,26
BXP_3538,2017/11/5,94,90,106,5,47,17
BXP_3425,2014/4/30,80,176,133,26,77,15
BXP_3535,2017/2/1,97,161,138,11,51,12
BXP_3543,2019/1/30,89,114,108,9,56,22
C_5478,2018/4/13,98,178,93,8,30,8
C_5479,2018/7/13,88,228,105,5,25,11
C_5410,2016/7/15,137,224,105,24,32,6
C_5476,2017/10/12,139,164,112,17,37,4
C_5314,2014/7/14,209,233,208,78,71,12
C_5251,2013/4/15,208,140,117,53,62,14
C_5252,2013/7/15,240,135,151,45,24,7
C_5534,2019/1/14,200,265,172,5,30,24
C_5408,2016/1/15,181,260,168,27,55,8
C_5537,2019/10/15,110,203,123,3,40,13
C_5406,2015/7/21,72,68,88,19,24,21
C_5411,2016/10/14,136,198,102,14,35,13
C_5250,2013/1/17,198,171,130,43,30,11
C_5246,2012/1/17,210,142,159,48,46,5
C_5407,2015/10/15,146,212,150,27,73,10
C_5315,2014/10/15,165,181,101,43,34,14
C_5474,2017/4/13,97,143,102,22,27,15
C_5313,2014/4/14,226,205,155,49,56,28
C_5536,2019/7/15,177,248,139,12,49,8
C_5405,2015/7/16,152,211,165,34,44,14
C_5316,2015/1/15,185,168,152,48,38,12
C_5317,2015/4/16,150,196,154,44,38,17
C_5477,2018/1/16,142,259,131,14,44,5
C_5312,2014/1/16,277,302,227,64,59,26
C_5223,2013/10/15,268,224,181,39,70,12
C_5533,2018/10/12,106,168,72,6,32,5
C_5535,2019/4/15,115,209,79,11,33,12
C_5409,2016/4/15,152,177,167,35,45,9
C_5475,2017/7/14,97,171,92,14,34,9
C_5247,2012/4/16,159,174,146,39,36,10
CA_4293,2013/5/7,110,187,105,17,83,10
CA_4464,2017/5/11,71,131,74,10,51,8
CA_4298,2014/10/22,47,134,41,5,32,6
CA_4418,2016/1/26,58,147,57,16,50,4
CA_4165,2012/1/24,85,101,94,6,42,13
CA_4419,2016/5/12,64,154,61,7,34,6
CA_4463,2017/8/2,24,75,32,3,17,4
CA_4296,2014/1/21,84,133,71,11,59,3
CA_4460,2018/5/8,47,119,48,10,31,5
CA_4294,2013/7/24,62,81,50,8,39,3
CA_4461,2018/1/30,50,199,71,10,51,5
CA_4421,2016/10/27,79,154,53,21,28,9
CA_4167,2012/7/26,79,69,57,8,35,8
CA_4462,2017/10/25,63,102,42,11,31,6
CA_4168,2012/10/25,82,67,70,9,30,6
CA_4465,2015/7/24,69,147,47,12,40,8
CA_4422,2017/1/24,112,144,74,11,41,5
CA_4169,2013/1/22,69,101,52,11,30,4
CA_4417,2015/10/22,63,177,57,19,38,4
CA_4297,2014/7/23,47,120,38,7,30,2
CA_4420,2016/7/28,78,189,61,16,39,4
CA_4166,2012/5/10,43,83,48,6,30,7
CAG_6172,2014/9/18,72,207,51,6,71,4
CAG_6284,2016/6/30,85,229,97,4,61,6
CAG_6288,2017/6/29,134,280,89,3,99,14
CAG_6548,2012/3/22,71,168,76,2,35,10
CAG_6371,2019/9/26,96,226,56,4,49,6
CAG_6289,2017/9/28,108,263,78,4,60,9
CAG_6282,2015/12/22,124,248,80,5,103,8
CAG_6170,2014/3/20,102,176,80,8,85,12
CAG_6369,2019/3/21,85,246,71,0,69,7
CAG_6279,2015/3/26,105,254,67,5,68,30
CAG_6368,2018/12/20,197,253,100,3,84,8
CAG_6550,2012/6/21,80,185,77,7,45,8
CAG_6365,2018/3/22,88,240,87,5,48,9
CAG_6278,2014/12/18,122,252,61,5,77,21
CAG_6165,2012/12/20,69,243,78,1,47,12
CAG_6168,2013/9/19,113,183,73,4,87,14
CAG_6370,2019/6/27,156,245,83,4,87,10
CAG_6166,2013/4/3,80,198,84,7,70,10
CAG_6283,2016/4/7,99,248,80,5,75,4
CAG_6285,2016/9/29,101,195,70,2,69,16
CAG_6366,2018/6/28,72,211,93,6,74,10
CAG_6280,2015/6/30,130,248,101,8,132,23
CAG_6167,2013/6/27,72,216,78,10,49,7
CAG_6364,2017/12/21,74,244,68,3,76,5
CAG_6169,2013/12/19,89,174,86,13,61,10
CAG_6171,2014/6/26,136,255,71,7,105,24
CAG_6164,2012/9/20,75,227,69,2,42,9
CAG_6286,2016/12/22,117,220,59,2,67,11
CAH_4118,2015/11/2,67,182,109,10,61,5
CAH_4259,2016/10/31,77,163,125,17,63,16
CAH_3960,2012/5/3,101,129,132,22,61,8
CAH_4109,2013/8/1,75,177,88,14,55,16
CAH_4119,2016/2/1,81,165,87,4,52,7
CAH_4263,2017/11/6,95,166,94,14,47,10
CAH_4117,2015/7/30,81,226,111,15,64,11
CAH_4402,2018/11/8,83,161,90,26,56,9
CAH_4264,2018/2/8,74,156,74,9,37,12
CAH_4115,2015/1/29,75,170,90,9,52,7
CAH_4406,2019/11/7,107,152,95,53,71,13
CAH_4260,2017/2/7,91,161,112,8,44,10
CAH_4404,2019/5/9,87,154,74,12,41,10
CAH_4258,2016/8/2,96,197,107,12,58,12
CAH_3963,2013/2/5,103,178,103,28,39,10
CAH_4403,2019/2/7,92,180,122,14,34,4
CAH_4474,2020/2/6,100,138,88,13,36,10
CAH_4108,2013/5/2,80,133,115,25,56,14
CAH_3962,2012/10/30,66,146,102,8,28,8
CAH_4120,2016/4/28,66,140,81,10,62,3
CAH_4112,2014/5/1,77,168,107,30,51,12
CAH_4262,2017/8/2,109,194,118,13,75,17
CAH_4400,2018/5/3,122,194,103,13,62,11
CAH_4111,2014/1/30,76,232,136,13,49,14
CAH_4110,2013/10/31,87,174,99,23,55,11
CAH_4116,2015/4/30,79,154,78,5,47,6
CAH_4114,2014/10/30,82,234,129,16,61,11
CAH_4261,2017/5/1,78,136,80,14,57,7
CAT_4224,2016/10/25,148,120,101,1,58,16
CAT_3918,2013/7/24,116,95,81,11,38,12
CAT_4365,2019/7/24,116,152,90,4,58,12
CAT_3855,2013/4/22,106,97,103,6,29,6
CAT_4570,2017/4/26,107,169,104,5,27,11
CAT_4367,2020/1/31,144,172,95,3,51,13
CAT_4360,2018/4/24,99,202,63,3,37,9
CAT_4362,2018/10/23,72,185,56,1,42,12
CAT_3853,2012/10/22,138,120,91,4,48,8
CAT_4361,2018/7/30,97,174,90,1,38,15
CAT_4518,2016/7/26,141,113,86,3,23,9
CAT_4523,2015/4/23,123,117,88,4,50,3
CAT_4572,2017/10/24,85,169,67,2,25,8
CAT_3923,2014/10/23,100,109,97,4,26,9
CAT_4571,2017/7/25,98,146,70,1,18,14
CAT_4364,2019/4/24,101,130,86,4,39,13
CAT_3850,2012/1/26,97,155,83,3,62,9
CAT_3921,2014/4/24,103,137,114,3,32,5
CAT_3854,2013/1/28,146,131,69,7,41,14
CAT_4524,2015/1/27,143,150,97,4,47,7
CAT_4225,2017/1/26,135,125,72,5,34,10
CAT_4363,2019/1/28,119,143,90,2,56,12
CAT_4366,2019/10/23,118,122,131,0,59,16
CAT_3920,2014/1/27,107,138,97,6,36,4
CAT_4522,2015/7/23,128,99,79,3,33,11
CAT_3922,2014/7/24,100,164,68,3,55,5
CAT_4573,2018/1/25,104,201,68,8,35,21
CAT_4520,2016/1/28,154,108,80,4,38,14
CAT_3852,2012/7/25,125,153,89,3,55,4
CB_4995,2015/1/29,184,153,114,32,39,13
CB_4985,2013/10/24,117,182,90,20,56,8
CB_4991,2014/7/25,174,190,144,35,63,3
CB_5108,2018/10/24,155,152,82,18,36,7
CB_5100,2016/10/26,95,140,94,9,67,11
CB_5098,2016/5/5,73,168,89,8,50,5
CB_4893,2013/2/1,262,204,137,25,53,7
CB_4987,2014/1/31,184,185,126,17,41,11
CB_5109,2019/2/6,133,136,84,12,32,2
CB_5106,2018/4/25,140,122,70,14,28,1
CB_4889,2012/7/26,207,136,121,25,40,4
CB_4988,2014/4/24,185,159,84,17,59,5
CB_5104,2017/10/27,163,82,89,12,39,12
CB_5103,2017/7/26,97,137,77,13,54,6
CB_5101,2017/2/1,149,162,85,16,51,8
CB_4895,2013/4/25,178,187,91,31,30,3
CB_4997,2015/4/24,189,168,122,19,54,8
CB_4884,2012/1/26,243,133,125,36,51,9
CB_5113,2020/2/5,151,83,90,20,35,5
CB_4983,2013/7/26,204,143,129,18,32,4
CB_4891,2012/10/25,156,165,112,24,42,4
CB_5099,2016/7/27,106,150,91,22,33,8
CB_5111,2019/7/24,95,87,65,5,27,5
CB_4886,2012/4/20,211,144,114,16,41,10
CB_5110,2019/5/1,112,85,67,8,24,3
CB_5102,2017/4/28,101,112,72,24,32,9
CBOE_4396,2019/5/3,96,94,116,11,33,8
CBOE_4099,2013/5/3,89,106,104,75,63,8
CBOE_4253,2017/2/6,66,112,90,24,34,5
CBOE_4097,2012/11/1,113,115,111,56,64,5
CBOE_4475,2018/5/4,95,147,99,43,26,5
CBOE_4250,2016/4/29,63,86,76,44,31,8
CBOE_4106,2015/2/6,99,177,99,43,63,5
CBOE_4248,2015/10/30,84,160,97,44,49,7
CBOE_4393,2018/8/3,87,166,96,14,39,6
CBOE_4104,2014/8/1,107,108,126,33,38,4
CBOE_4103,2014/5/6,116,136,145,44,45,12
CBOE_4398,2019/11/1,86,173,107,17,42,15
CBOE_4394,2018/11/2,147,138,115,34,41,11
CBOE_4249,2016/2/3,121,119,132,36,53,8
CBOE_4096,2012/8/2,65,88,85,10,32,7
CBOE_4107,2015/5/1,128,133,103,41,54,11
CBOE_4098,2013/2/8,96,151,92,61,73,8
CBOE_4397,2019/8/2,78,129,98,27,60,13
CBOE_4101,2013/11/1,152,130,188,65,38,14
CBOE_4100,2013/8/2,78,82,88,28,41,7
CBOE_4247,2015/7/31,96,146,86,46,36,6
CBOE_4255,2017/8/6,87,199,91,20,48,14
CBOE_4257,2018/2/9,100,171,95,30,55,9
CBOE_4256,2017/11/7,71,174,87,37,56,18
CBOE_4252,2016/10/28,102,118,90,16,44,7
CBOE_4095,2012/5/1,123,138,105,32,49,7
CBOE_4395,2019/2/8,104,154,130,14,51,12
CBOE_4102,2014/2/7,109,106,131,82,61,12
CCI_6325,2018/4/19,70,129,127,18,28,30
CCI_6327,2018/10/18,74,124,156,14,62,19
CCI_6215,2015/4/23,63,152,153,9,53,16
CCI_6213,2014/10/31,81,142,194,47,53,22
CCI_6125,2014/1/23,67,149,150,16,47,13
CCI_6328,2019/1/24,57,106,131,16,54,16
CCI_6111,2012/10/25,60,106,117,31,41,17
CCI_6326,2018/7/19,87,194,125,14,51,20
CCI_6112,2013/1/24,73,126,133,21,41,12
CCI_6223,2017/4/26,95,162,167,31,69,17
CCI_6221,2016/10/21,92,134,134,26,65,9
CCI_6114,2013/7/25,74,118,116,20,44,16
CCI_6322,2017/7/19,49,110,129,19,56,14
CCI_6212,2014/7/24,60,112,167,24,46,16
CCI_6220,2016/7/22,74,135,144,7,34,11
CCI_6216,2015/7/23,62,172,144,15,53,9
CCI_6110,2012/7/26,77,160,156,31,30,32
CCI_6381,2014/4/24,54,124,135,24,55,12
CCI_6324,2018/1/25,52,124,109,17,33,22
CCI_6113,2013/4/25,72,118,146,25,30,10
CCI_6115,2013/10/21,53,84,135,14,32,23
CCI_6330,2019/7/18,59,109,104,8,42,16
CCI_6109,2012/4/26,74,131,137,8,44,19
CCI_6329,2019/4/18,80,112,117,20,39,22
CCI_6108,2012/1/26,87,163,145,30,78,17
CCI_6323,2017/10/19,63,100,128,13,64,10
CCI_6218,2016/1/28,50,163,99,13,34,14
CCI_6217,2015/10/22,81,153,195,34,61,21
CCL_4377,2017/6/22,80,175,49,2,47,3
CCL_4381,2018/9/27,54,172,56,3,68,6
CCL_4229,2014/3/25,83,159,69,5,43,2
CCL_4369,2015/6/23,85,215,64,11,51,5
CCL_4382,2019/3/26,78,156,93,8,52,6
CCL_4368,2015/3/27,72,196,52,3,57,8
CCL_4578,2012/9/25,138,126,63,4,59,10
CCL_4228,2013/12/19,104,135,49,4,57,5
CCL_4487,2012/12/20,103,138,77,4,87,7
CCL_4376,2017/3/28,72,167,73,7,57,6
CCL_4371,2015/12/18,75,187,83,3,42,9
CCL_4226,2013/6/25,79,181,91,6,84,6
CCL_4383,2019/6/20,125,133,80,4,63,11
CCL_4577,2012/6/22,126,106,77,6,48,4
CCL_4230,2014/6/24,68,211,53,4,56,3
CCL_4374,2016/9/26,63,199,100,7,70,17
CCL_4231,2014/9/23,77,220,92,6,100,12
CCL_4379,2017/12/20,83,180,53,1,60,10
CCL_4373,2016/6/28,68,153,91,8,38,7
CCL_4380,2018/6/25,88,173,57,3,52,10
CCL_4227,2013/9/24,79,149,57,11,49,7
CCL_4232,2014/12/19,88,202,73,6,65,15
CCL_4576,2012/3/9,152,126,106,7,74,12
CCL_4370,2015/9/22,76,174,64,6,63,5
CCL_4375,2016/12/20,78,191,73,6,53,15
CCL_4372,2016/3/30,81,144,79,4,47,9
CELG_3756,2014/7/24,106,234,98,18,56,16
CELG_3915,2016/1/28,85,262,94,15,42,6
CELG_3794,2014/1/30,69,187,84,12,50,1
CELG_3789,2013/1/24,99,217,96,19,55,9
CELG_3792,2013/10/24,87,194,73,28,76,8
CELG_4222,2018/1/25,94,193,71,7,65,7
CELG_3835,2015/4/30,100,274,82,15,67,12
CELG_3767,2013/4/25,102,217,108,35,64,8
CELG_3914,2015/11/5,94,308,74,10,47,12
CELG_3796,2014/4/24,99,180,99,13,33,16
CELG_4525,2017/7/27,59,231,73,6,37,4
CELG_3917,2016/7/28,68,217,51,10,49,2
CELG_4358,2018/10/25,95,170,65,21,43,6
CELG_3786,2012/4/26,105,204,96,33,69,8
CELG_3787,2012/7/26,71,208,72,19,34,6
CELG_3833,2015/1/29,81,223,109,16,70,8
CELG_4359,2019/1/31,110,183,76,34,64,7
CELG_4527,2017/1/26,72,230,60,10,63,4
CELG_3790,2013/7/25,110,213,112,30,44,10
CELG_3913,2015/7/23,63,218,70,10,42,7
CELG_3916,2016/4/28,78,225,65,8,49,7
CELG_4221,2017/10/26,151,266,107,13,63,16
CELG_4526,2017/4/27,115,204,61,27,71,7
CELG_3788,2012/10/25,95,204,74,40,64,20
CELG_4223,2018/5/4,109,186,87,27,41,12
CELG_4357,2018/7/26,77,188,73,30,34,4
CELG_4045,2016/10/27,129,238,83,9,45,9
CERN_4954,2013/7/25,60,160,68,12,38,14
CERN_5062,2017/4/27,69,190,72,8,30,13
CERN_4961,2015/5/7,61,162,74,29,44,14
CERN_4962,2015/8/4,62,151,76,14,42,8
CERN_5058,2016/5/5,53,146,72,12,35,4
CERN_5068,2018/10/25,84,164,95,36,52,17
CERN_4956,2014/2/4,50,135,77,23,54,6
CERN_5069,2019/2/6,68,195,88,19,36,8
CERN_4955,2013/10/24,70,167,69,7,61,10
CERN_5072,2019/10/24,72,177,73,12,65,8
CERN_5060,2016/11/1,88,170,82,27,65,9
CERN_5063,2017/7/27,75,180,61,14,29,10
CERN_4960,2015/2/10,31,187,81,22,53,7
CERN_4834,2012/4/26,63,165,68,22,49,7
CERN_4963,2015/11/3,62,135,70,29,34,3
CERN_4836,2012/10/25,43,172,86,16,42,15
CERN_5066,2018/5/2,83,169,90,29,42,4
CERN_4833,2012/2/7,74,168,86,30,75,18
CERN_5073,2020/2/4,85,192,85,30,57,14
CERN_5065,2018/2/6,55,173,97,17,34,10
CERN_4957,2014/4/24,75,152,80,14,52,8
CERN_4964,2016/2/16,85,263,101,16,62,5
CERN_4959,2014/10/23,54,144,88,16,45,7
CERN_5070,2019/4/25,70,228,59,12,68,23
CERN_4837,2013/2/5,60,185,66,18,54,11
CERN_5067,2018/8/2,56,186,66,16,53,8
CERN_4838,2013/4/25,65,139,69,6,48,7
CERN_5059,2016/8/2,60,136,65,23,24,6
CERN_4958,2014/7/25,45,144,60,19,48,13
CF_4945,2015/11/5,71,138,85,17,61,12
CF_4952,2017/8/3,127,144,95,10,90,17
CF_4949,2016/11/3,85,104,89,10,60,21
CF_5051,2018/8/2,94,136,66,7,67,9
CF_4816,2013/2/20,74,117,59,5,27,14
CF_5055,2019/8/1,104,135,80,3,70,7
CF_4822,2014/8/7,112,131,104,11,57,24
CF_4813,2012/5/4,94,124,96,4,34,12
CF_4946,2016/2/18,110,97,125,6,59,10
CF_4814,2012/8/8,80,90,81,5,51,14
CF_4943,2015/5/7,73,177,86,17,66,11
CF_4953,2017/11/2,96,131,107,4,49,6
CF_5053,2019/2/14,99,108,90,6,67,11
CF_4821,2014/5/8,114,124,110,10,51,10
CF_4948,2016/8/4,118,116,88,15,71,19
CF_5052,2018/11/1,117,136,146,9,73,4
CF_4951,2017/5/4,114,107,118,17,64,9
CF_4944,2015/8/6,63,125,75,7,98,12
CF_4820,2014/2/19,87,96,90,8,67,15
CF_5054,2019/5/2,119,82,80,6,56,10
CF_4947,2016/5/5,107,97,102,4,67,7
CF_4818,2013/8/7,89,114,113,2,48,9
CF_4817,2013/5/9,97,130,93,15,73,6
CF_4815,2012/11/6,71,113,89,7,49,16
CF_5057,2020/2/13,93,153,89,6,65,9
CF_5050,2018/5/3,125,85,81,7,73,3
CF_4812,2012/2/16,82,145,89,9,55,13
CF_4608,2014/11/6,129,123,95,12,68,13
CF_4950,2017/2/16,87,86,88,9,76,13
CFG_5529,2019/4/18,72,254,67,3,48,10
CFG_5527,2018/10/19,72,265,77,6,49,7
CFG_5472,2018/1/19,62,261,89,18,59,5
CFG_5404,2017/4/20,46,204,56,4,39,4
CFG_5473,2018/4/20,67,190,75,5,21,2
CFG_5395,2015/1/26,80,195,91,12,38,5
CFG_5402,2016/10/21,78,258,74,8,32,3
CFG_5471,2017/10/20,56,250,68,5,39,9
CFG_5398,2015/10/23,82,232,62,8,47,10
CFG_5400,2016/4/22,52,219,63,13,39,8
CFG_5532,2020/1/17,76,302,81,6,41,4
CFG_5403,2017/1/20,66,243,100,11,41,6
CFG_5396,2015/4/22,78,231,89,5,49,4
CFG_5531,2019/10/18,127,240,98,3,53,10
CFG_5530,2019/7/19,91,211,64,2,38,5
CFG_5401,2016/7/21,55,289,67,5,73,5
CFG_5399,2016/1/22,69,224,105,4,60,9
CFG_5528,2019/1/18,94,312,80,8,51,12
CHD_4606,2016/2/2,84,153,63,2,37,9
CHD_4598,2017/11/2,75,106,52,3,15,2
CHD_4870,2013/8/2,83,208,52,1,42,0
CHD_4601,2018/8/2,108,120,67,6,20,3
CHD_5093,2019/7/31,61,120,95,0,19,3
CHD_4599,2018/2/5,76,224,111,7,41,6
CHD_4875,2014/11/3,74,171,72,2,48,2
CHD_5091,2019/2/6,73,195,66,4,46,9
CHD_4981,2017/5/4,55,114,59,5,27,1
CHD_4610,2012/8/7,129,268,86,10,44,5
CHD_5147,2017/2/7,93,152,78,6,24,3
CHD_4612,2013/2/5,65,262,104,6,97,6
CHD_5095,2020/2/1,57,135,71,8,23,7
CHD_5198,2016/8/4,70,124,73,4,26,3
CHD_4602,2018/11/1,71,109,51,1,18,0
CHD_4871,2013/11/1,96,278,61,1,61,5
CHD_4982,2017/8/3,100,133,73,8,23,0
CHD_4872,2014/2/4,136,438,153,7,74,13
CHD_4600,2018/5/3,63,132,57,1,15,1
CHD_4874,2014/8/1,99,235,64,3,53,6
CHD_5148,2016/11/3,107,126,64,2,19,5
CHD_4607,2016/5/5,59,98,67,3,22,2
CHD_5092,2019/5/2,72,98,63,2,21,0
CHD_4604,2015/8/4,93,191,68,6,29,11
CHD_4603,2015/5/7,81,279,67,9,41,4
CHD_4873,2014/5/1,114,182,62,5,58,3
CHD_4609,2012/5/4,123,195,123,7,73,4
CHD_4605,2015/11/2,72,178,63,2,26,3
CHK_5018,2016/11/3,42,132,61,18,28,10
CHK_5150,2016/2/24,57,100,51,9,36,23
CHK_5130,2018/8/1,37,146,61,5,44,6
CHK_5020,2017/5/4,37,142,48,5,34,6
CHK_5019,2017/2/23,34,110,49,5,21,12
CHK_5128,2018/2/22,31,140,69,5,44,15
CHK_4768,2012/2/22,74,161,109,7,94,12
CHK_5129,2018/5/2,24,138,52,2,28,11
CHK_5152,2015/8/5,58,250,77,6,48,17
CHK_4769,2012/5/2,152,197,144,5,118,14
CHK_4770,2012/8/7,89,169,106,2,74,3
CHK_4774,2013/8/1,77,203,82,8,80,19
CHK_4777,2014/5/7,78,215,102,5,57,13
CHK_4772,2013/2/21,66,172,109,6,61,10
CHK_5156,2014/8/6,56,179,68,8,42,15
CHK_5149,2016/5/5,41,125,46,9,29,10
CHK_5134,2019/8/6,65,214,93,11,76,19
CHK_4771,2012/11/2,99,146,108,4,78,6
CHK_5021,2017/8/3,27,133,56,6,26,4
CHK_5189,2016/8/4,46,113,60,8,26,7
CHK_5135,2019/11/5,52,127,65,5,27,13
CHK_5154,2015/2/25,91,225,86,7,50,13
CHK_4775,2013/11/6,62,202,113,8,62,10
